"name","L1-dcache-load-misses","L1-dcache-loads","LLC-loads","branch-misses","branches","context-switches","cpu-migrations","cycles","instructions","page-faults","task-clock","opt"
"400.perlbench/Base64.i",2443729,59943100,669238,813985,46368894,0,0,158020657,218420597,3256,46.602001,"O0"
"400.perlbench/Cwd.i",1232879,39111287,329001,507820,32552317,0,0,102350989,148691430,2849,30.214468,"O0"
"400.perlbench/Dumper.i",5124174,121268225,1385499,1338305,98732055,0,0,262626009,437504292,4805,77.498192,"O0"
"400.perlbench/DynaLoader.i",1114247,28702467,367503,287066,26021733,0,0,79140285,129322986,2679,23.348077,"O0"
"400.perlbench/HiRes.i",1951145,53382463,452393,861226,44085961,0,0,108628799,186064527,3085,38.015915,"O0"
"400.perlbench/Hostname.i",1109471,28888246,364352,294010,25959396,0,0,78271247,129745743,2666,23.063499,"O0"
"400.perlbench/IO.i",2667511,67901597,702576,1215110,60918733,0,0,172614450,274238787,3339,50.859564,"O0"
"400.perlbench/MD5.i",3006901,86206862,720102,1060222,75273251,0,0,192287212,328211542,3798,56.657027,"O0"
"400.perlbench/Opcode.i",3418234,86259288,750290,1579457,72926397,0,0,203652611,316760790,3571,61.862425,"O0"
"400.perlbench/Parser.i",7903190,193894127,1792811,2951501,160339835,0,0,434675590,679913762,5492,128.076026,"O0"
"400.perlbench/Peek.i",2578439,65286392,726049,1190999,60125886,0,0,169901612,262252439,3405,50.055476,"O0"
"400.perlbench/Storable.i",17678852,423775014,3872402,6278180,351075039,0,0,924450114,1520786538,8530,272.377105,"O0"
"400.perlbench/attrs.i",1144470,34471414,411976,440122,31181237,0,0,93638136,149241858,2832,27.588616,"O0"
"400.perlbench/av.i",4450659,109547601,1122482,1734676,91287376,0,0,256803579,407612738,3942,75.662973,"O0"
"400.perlbench/deb.i",1100803,28615987,378417,290243,25713616,0,0,77640332,126437359,2670,22.878511,"O0"
"400.perlbench/doio.i",5824771,140053246,1352713,2124690,114652243,0,0,298694992,512603504,4958,93.190348,"O0"
"400.perlbench/doop.i",4930142,123879854,1234338,1853971,103560661,0,0,281885606,458465496,4357,83.045058,"O0"
"400.perlbench/dump.i",6421657,145355947,1423255,1913464,121645094,0,0,298704774,532590008,5109,95.175986,"O0"
"400.perlbench/globals.i",1549364,41648993,495513,448621,35723151,0,0,98270216,161683770,3004,28.953961,"O0"
"400.perlbench/gv.i",5557121,142737187,1293711,2207624,119277484,0,0,298691981,494665655,4712,95.771137,"O0"
"400.perlbench/hv.i",4433755,112425976,1283199,2214687,95308612,0,0,284979644,424097127,4253,83.963992,"O0"
"400.perlbench/locale.i",1119587,28568301,375873,291802,25875213,0,0,78582813,127051232,2664,23.149122,"O0"
"400.perlbench/mg.i",7691820,193703801,1839196,3356802,157038183,0,0,450054139,677226987,5431,132.607068,"O0"
"400.perlbench/numeric.i",3020599,67825602,748181,1137107,59746196,0,0,173198203,263272868,3527,51.033152,"O0"
"400.perlbench/op.i",18085454,430091403,3852559,7506259,349926501,0,0,963919891,1485331067,8554,291.890355,"O0"
"400.perlbench/pad.i",3470998,85993745,771164,1393113,75455877,0,0,203659111,327928901,3694,61.623196,"O0"
"400.perlbench/perl.i",7474354,183569768,1573474,3047149,151572461,0,0,393726480,639716332,5146,123.710662,"O0"
"400.perlbench/perlapi.i",1014782,24759356,439597,228298,17523202,0,0,58922069,88102350,2347,17.380381,"O0"
"400.perlbench/perlio.i",8167422,205552607,2283129,5265913,177697054,0,0,565602488,762563863,5503,166.643475,"O0"
"400.perlbench/perlmain.i",1138444,28874480,364727,290619,26287857,0,0,77742994,130686365,2682,22.899134,"O0"
"400.perlbench/perly.i",3540970,108259455,732371,859459,85356876,0,0,203682301,408189070,4478,62.972366,"O0"
"400.perlbench/poll.i",1257486,34709709,396463,354439,29442993,0,0,85751636,141888090,2853,25.266996,"O0"
"400.perlbench/pp.i",19660883,456613874,4174458,8333826,374250338,0,0,1052974377,1643131625,8846,310.250856,"O0"
