"name","L1-dcache-load-misses","L1-dcache-loads","LLC-loads","branch-misses","branches","context-switches","cpu-migrations","cycles","instructions","page-faults","task-clock","opt"
"400.perlbench/Base64.i",2367732,52621274,676930,802335,44015741,0,1,129162699,201646355,3244,54.700409,"O0"
"400.perlbench/Cwd.i",1321144,34224137,346090,513377,30237325,0,0,88820240,130785733,2820,32.314664,"O0"
"400.perlbench/Dumper.i",5161699,103529331,1417306,1317221,87741879,0,0,235874502,377582108,4781,73.242712,"O0"
"400.perlbench/DynaLoader.i",1153526,28204195,415538,291706,23755967,0,0,72112235,106348834,2650,21.281317,"O0"
"400.perlbench/HiRes.i",1964943,48219590,467903,789566,38602269,0,0,108470677,176313885,3058,34.647646,"O0"
"400.perlbench/Hostname.i",1147482,29211797,403340,310968,23177889,0,0,70204599,104630379,2646,20.693463,"O0"
"400.perlbench/IO.i",2647175,63707627,751910,1160491,50429589,0,0,154868657,236527412,3312,45.639286,"O0"
"400.perlbench/MD5.i",2832112,69403268,786398,997725,68734328,0,0,174302159,297458708,3776,51.355749,"O0"
"400.perlbench/Opcode.i",3041693,69287184,913666,1484707,66092677,0,0,189991420,279601459,3536,55.975888,"O0"
"400.perlbench/Parser.i",7621667,165329257,1730469,2988614,144494381,0,0,392305608,613168099,5432,115.583376,"O0"
"400.perlbench/Peek.i",2657518,61136277,788370,1191553,50515514,0,0,154140988,233955276,3368,45.416885,"O0"
"400.perlbench/Storable.i",17111535,366652604,4071055,5477392,320575532,0,0,818396531,1340766000,8438,241.135356,"O0"
"400.perlbench/attrs.i",1367257,34291590,444415,375118,28383885,0,0,84129141,128891605,2810,24.788887,"O0"
"400.perlbench/av.i",4516050,94580431,1005110,1780743,84284651,0,0,230812075,340604763,3918,68.317872,"O0"
"400.perlbench/deb.i",1141740,28926388,414379,306911,22937173,0,0,69583694,99845131,2641,20.510509,"O0"
"400.perlbench/doio.i",5993967,119668040,1543203,2009352,101551660,0,0,284267763,433465091,4912,83.749253,"O0"
"400.perlbench/doop.i",5262228,109316276,1248239,1750971,91223157,0,0,255148076,397429845,4318,75.17747,"O0"
"400.perlbench/dump.i",6625651,131826451,1560730,1748771,107331337,0,0,286483054,455304628,5061,84.412677,"O0"
"400.perlbench/globals.i",1497402,35664423,576201,333101,32311614,0,0,88379756,142105603,2972,26.036313,"O0"
