"name","L1-dcache-load-misses","L1-dcache-loads","LLC-loads","branch-misses","branches","context-switches","cpu-migrations","cycles","instructions","page-faults","task-clock","opt"
"400.perlbench/Base64.i",2195602,58094477,667104,853868,49191855,0,0,153355003,233071335,3271,57.212619,"O0"
"400.perlbench/Cwd.i",1336535,38237503,356307,543959,33379059,0,0,99897879,149086944,2844,32.373531,"O0"
"400.perlbench/Dumper.i",5041340,124015592,1323931,1405203,98936858,0,0,264211833,443864145,4804,80.242994,"O0"
"400.perlbench/DynaLoader.i",1151708,32813599,390124,323998,25964586,0,0,81556462,126181029,2670,24.76451,"O0"
"400.perlbench/HiRes.i",2026941,52698518,568289,889827,44713827,0,0,131780934,171378816,3070,40.753021,"O0"
"400.perlbench/Hostname.i",1121532,32771988,390697,324586,25765269,0,0,81365865,125893104,2674,24.710378,"O0"
"400.perlbench/IO.i",2729987,67651425,746688,1213159,62128195,0,0,178232315,269010691,3330,54.115677,"O0"
"400.perlbench/MD5.i",3071567,87392376,661181,1044630,75297246,0,0,197651425,321863997,3809,60.182521,"O0"
"400.perlbench/Opcode.i",3498170,85555872,800290,1582503,72247187,0,0,197641641,306353848,3562,65.963318,"O0"
"400.perlbench/Parser.i",8045002,191811575,1805244,3027763,155581916,0,0,447245273,678285787,5488,135.784968,"O0"
"400.perlbench/Peek.i",2640786,66965784,748201,1175562,59961131,0,0,176073495,258251825,3393,53.275235,"O0"
"400.perlbench/Storable.i",18133505,423440777,3905343,6094048,346000862,0,0,920186513,1533427644,8541,271.236916,"O0"
"400.perlbench/attrs.i",1157756,34430329,424921,441049,31293639,0,0,93580862,148903586,2838,27.575512,"O0"
"400.perlbench/av.i",4506732,110130213,1145913,1706001,91313414,0,0,257716052,402821753,3948,75.929968,"O0"
"400.perlbench/deb.i",1131849,28459814,384865,289765,25640347,0,0,78221082,126255454,2670,23.035068,"O0"
"400.perlbench/doio.i",5937176,140365835,1360307,2119827,115221099,0,0,298710304,511355078,4962,93.503217,"O0"
"400.perlbench/doop.i",4903619,123810075,1271040,1857752,104041119,0,0,282370564,457793442,4353,83.197766,"O0"
"400.perlbench/dump.i",6418143,145751506,1443269,1926406,121964436,0,0,298695414,530765855,5094,95.368363,"O0"
"400.perlbench/globals.i",1575089,41864149,501607,458770,35852117,0,0,98911896,161680348,3007,29.151947,"O0"
"400.perlbench/gv.i",5624107,142633037,1308550,2201604,119885212,0,0,298679897,494893918,4704,95.782325,"O0"
"400.perlbench/hv.i",4671877,118507054,1272267,2219014,95249302,0,0,285504829,425319974,4252,84.129462,"O0"
"400.perlbench/locale.i",1149209,28475445,389569,289467,25795139,0,0,79062092,126683488,2664,23.298342,"O0"
"400.perlbench/mg.i",7805759,194696413,1865209,3358740,157051473,0,0,450860395,673381124,5415,132.853589,"O0"
"400.perlbench/numeric.i",3088572,67669563,760750,1126989,59819968,0,0,173767693,262939036,3512,51.201076,"O0"
"400.perlbench/op.i",18305929,431292287,3923539,7571307,348243331,0,0,991044563,1484468434,8561,292.146374,"O0"
"400.perlbench/pad.i",3473610,85970795,771064,1395924,75517254,0,0,203656392,326240072,3685,61.920359,"O0"
"400.perlbench/perl.i",7520935,183937414,1588322,3069358,152220759,0,0,393710553,636092466,5160,123.781647,"O0"
"400.perlbench/perlapi.i",1056473,24791928,457232,232493,17605205,0,0,58952229,87867312,2343,17.396153,"O0"
"400.perlbench/perlio.i",8194362,205701529,2316977,5218820,177558112,0,0,567390008,756831795,5511,167.182923,"O0"
"400.perlbench/perlmain.i",1188364,28829195,373156,288857,26277566,0,0,77926945,130396586,2672,22.961002,"O0"
