L1-dcache-load-misses,LLC-loads,branch-misses,branches,context-switches,cpu-migrations,cycles,instructions,name,page-faults,stalled-cycles-frontend,task-clock,opt
2197250.0,653418.0,924778,44868057,0,1,147747848.0,209002377,400.perlbench/Base64.i,3245,54403052,40.547016,O0
1180804.0,455732.0,463740,27767786,0,0,103552593.0,127553550,400.perlbench/Cwd.i,2824,49273746,27.643816,O0
5253250.0,1353447.0,1542133,87687229,0,0,254892025.0,374369896,400.perlbench/Dumper.i,4792,96027045,70.295066,O0
1157749.0,392102.0,378429,19493071,0,0,85842722.0,106551816,400.perlbench/DynaLoader.i,2655,42332802,23.269043,O0
1923854.0,551988.0,929524,38078385,0,1,133015564.0,178478910,400.perlbench/HiRes.i,3066,59091281,37.45635,O0
1151816.0,393497.0,382442,19516450,0,1,85322554.0,106564512,400.perlbench/Hostname.i,2653,41977973,23.130457,O0
2696812.0,762568.0,1388257,49476709,0,0,181809795.0,241817612,400.perlbench/IO.i,3317,79654294,49.286136,O0
2961254.0,820655.0,1273902,66516313,0,0,202810171.0,302532512,400.perlbench/MD5.i,3784,81289490,54.790538,O0
3251835.0,783103.0,1798673,65449215,0,0,220817979.0,287446002,400.perlbench/Opcode.i,3552,97796001,59.531807,O0
8003787.0,2051924.0,3533686,141981069,0,1,481557237.0,575863225,400.perlbench/Parser.i,5483,222103555,130.5126,O0
2689270.0,802965.0,1466904,50288092,0,0,185577953.0,243362859,400.perlbench/Peek.i,3377,84211728,49.828047,O0
17770475.0,4221710.0,6529200,318909124,0,0,936172765.0,1291445509,400.perlbench/Storable.i,8524,392237978,242.916107,O0
1154734.0,456082.0,441397,27396548,0,0,102154430.0,124201841,400.perlbench/attrs.i,2808,50595895,27.690952,O0
4531720.0,1191132.0,2108151,84005987,0,0,253298078.0,350412768,400.perlbench/av.i,3930,97803691,71.922667,O0
1129674.0,401909.0,366864,19256606,0,1,86002518.0,103716598,400.perlbench/deb.i,2642,43641740,23.072707,O0
6115563.0,1476953.0,2493325,102548276,0,0,324649207.0,434393382,400.perlbench/doio.i,4949,149983528,90.475853,O0
5182302.0,1351694.0,2149127,93986274,0,0,295008069.0,401851286,400.perlbench/doop.i,4343,127540447,77.588117,O0
