L1-dcache-load-misses,LLC-loads,branch-misses,branches,context-switches,cpu-migrations,cycles,instructions,name,page-faults,stalled-cycles-frontend,task-clock,opt
2413933.0,683778.0,1032588,51593081,0,1,178295621.0,227954700,400.perlbench/Base64.i,3271,84299791,48.119377,O0
1267060.0,365742.0,611732,32140902,0,0,120739295.0,158232476,400.perlbench/Cwd.i,2841,58739137,33.105035,O0
4828557.0,1286626.0,1635424,99122601,0,0,309457024.0,444461172,400.perlbench/Dumper.i,4809,127603790,81.101812,O0
899174.0,394466.0,384711,26129308,0,1,102923492.0,136270122,400.perlbench/DynaLoader.i,2677,47344566,27.897499,O0
2080106.0,625645.0,1085683,45787428,0,0,147792127.0,186904888,400.perlbench/HiRes.i,3077,61892547,43.788035,O0
864814.0,390439.0,385443,26053343,0,0,103113197.0,135607640,400.perlbench/Hostname.i,2679,47908448,27.949168,O0
2591058.0,741239.0,1517448,62848617,0,0,211647326.0,278285174,400.perlbench/IO.i,3334,96680213,57.371668,O0
3132314.0,773277.0,1296995,76219754,0,0,236477080.0,327929156,400.perlbench/MD5.i,3804,106130076,64.36263,O0
3334700.0,993631.0,1919965,73589176,0,0,251255891.0,321962206,400.perlbench/Opcode.i,3573,108891683,69.132203,O0
8118717.0,1925351.0,3601087,156894081,0,0,518567269.0,678959645,400.perlbench/Parser.i,5501,234296452,139.908657,O0
2607894.0,762253.0,1447123,60685455,0,0,209315830.0,267457380,400.perlbench/Peek.i,3403,96706922,56.739598,O0
17877156.0,4146619.0,6873730,358942458,0,4,1076062233.0,1573125887,400.perlbench/Storable.i,8532,451285921,287.558442,O0
1230580.0,358522.0,586612,31657544,0,0,118243605.0,156418618,400.perlbench/attrs.i,2833,55108402,32.456951,O0
4203954.0,1180411.0,1988961,93842390,0,0,310532487.0,399258725,400.perlbench/av.i,3949,142771117,83.734211,O0
860133.0,392188.0,376974,25256041,0,0,103446485.0,132205309,400.perlbench/deb.i,2668,49728570,28.037877,O0
6057066.0,1444703.0,2514233,117083562,0,0,381508740.0,483545419,400.perlbench/doio.i,4960,166682884,102.188588,O0
5060145.0,1158452.0,2274208,105075696,0,0,339926854.0,468487559,400.perlbench/doop.i,4352,151234945,92.180804,O0
6127225.0,1491269.0,2320994,127886904,0,0,389260762.0,574945801,400.perlbench/dump.i,5099,167404894,105.148444,O0
1336839.0,487135.0,590116,36950327,0,0,118252913.0,169569557,400.perlbench/globals.i,3015,61520819,35.254305,O0
6363037.0,1614999.0,2580675,115468984,0,0,390044318.0,484448883,400.perlbench/gv.i,4711,187092290,105.724496,O0
4738415.0,1137191.0,2676884,97382218,0,0,328407505.0,436247627,400.perlbench/hv.i,4243,157215408,91.919587,O0
1005766.0,393322.0,439570,25470394,0,0,103768236.0,132981679,400.perlbench/locale.i,2666,49550532,28.133446,O0
8063855.0,1858090.0,3943223,154340983,0,0,535484246.0,656432155,400.perlbench/mg.i,5424,250930669,143.941027,O0
2845792.0,801128.0,1431882,60768116,0,0,212150580.0,271096481,400.perlbench/numeric.i,3517,98165825,57.507098,O0
18048266.0,4555131.0,8948332,357306410,0,1,1188682553.0,1539756809,400.perlbench/op.i,8577,528306932,321.976427,O0
3459277.0,1012097.0,1697448,76051855,0,0,255324222.0,325584047,400.perlbench/pad.i,3689,110824839,69.371625,O0
7887834.0,1959332.0,3451146,149815111,0,0,504417013.0,645897147,400.perlbench/perl.i,5162,233417693,132.282792,O0
1002951.0,368766.0,320946,18012676,0,0,79077575.0,93883814,400.perlbench/perlapi.i,2348,40873118,21.439026,O0
8511152.0,2239555.0,5908880,177156849,0,0,652437828.0,765847175,400.perlbench/perlio.i,5523,326149947,175.688038,O0
878366.0,388472.0,381333,26160601,0,0,101855702.0,136736064,400.perlbench/perlmain.i,2679,46676317,27.609453,O0
3907103.0,814634.0,1124795,90375056,0,1,272210350.0,388265097,400.perlbench/perly.i,4483,109535824,73.082985,O0
1034526.0,326153.0,477867,29152229,0,0,114419289.0,148795844,400.perlbench/poll.i,2846,53760996,30.535317,O0
19624336.0,4662706.0,9714856,376918055,0,0,1256556336.0,1623952122,400.perlbench/pp.i,8835,544139070,327.80507,O0
13765530.0,3344922.0,6215297,251655576,0,0,829453559.0,1115423945,400.perlbench/pp_ctl.i,6935,363330829,217.384465,O0
11546354.0,2662809.0,4880546,218001321,0,0,706726687.0,930924209,400.perlbench/pp_hot.i,6293,300389584,185.842262,O0
7216420.0,1974284.0,2268588,128612107,0,0,412102121.0,537513124,400.perlbench/pp_pack.i,5289,195482720,110.70709,O0
4207060.0,1188313.0,1915784,86494872,0,1,288982477.0,385036267,400.perlbench/pp_sort.i,4135,125844286,76.267391,O0
12272601.0,3175779.0,6353151,234882027,0,0,822899581.0,1002563848,400.perlbench/pp_sys.i,6570,373553900,215.622347,O0
15274102.0,4160154.0,4958867,265409939,0,0,836656558.0,1183282744,400.perlbench/regcomp.i,7762,356564525,218.621498,O0
14997417.0,4342390.0,4364778,254564203,0,1,783230248.0,1122584812,400.perlbench/regexec.i,8311,333030722,208.391282,O0
844081.0,378879.0,371746,24259102,0,0,97032958.0,127360827,400.perlbench/run.i,2598,45979540,26.538207,O0
3926967.0,1095606.0,2497801,87925720,0,0,326485384.0,404821575,400.perlbench/scope.i,4256,155880599,86.755645,O0
188247.0,258056.0,194331,9553868,0,0,29566829.0,46220039,400.perlbench/specrand.i,1195,12725309,8.756947,O0
280248.0,193737.0,212635,10474402,0,0,29568252.0,50234144,400.perlbench/stdio.i,1241,12736729,9.663616,O0
19682572.0,5189931.0,9423343,361178718,0,0,1250058889.0,1578399381,400.perlbench/sv.i,9367,580559150,334.78701,O0
1224121.0,353439.0,526824,32164694,0,0,118381975.0,156305175,400.perlbench/taint.i,2868,55773266,32.127068,O0
29191264.0,8340673.0,8032728,472388815,0,0,1486767930.0,2059004988,400.perlbench/toke.i,13548,661676136,404.22991,O0
3793758.0,1080739.0,1820857,82776347,0,1,280340766.0,338448079,400.perlbench/universal.i,3926,127636321,72.98576,O0
5589167.0,1516013.0,2999779,112073697,0,0,398812127.0,499396693,400.perlbench/utf8.i,4500,190511466,105.654084,O0
6805049.0,1791047.0,3832940,137169397,0,1,496767344.0,561416178,400.perlbench/util.i,4908,237735017,129.032096,O0
2052546.0,603910.0,948838,44874017,0,0,147797760.0,190236842,400.perlbench/xsutils.i,3064,60639927,42.056569,O0
2865823.0,703635.0,1172360,61472401,0,0,197464101.0,270583156,401.bzip2/blocksort.i,2774,84824605,52.341301,O0
1370631.0,364433.0,874896,32048709,0,0,118239996.0,143032989,401.bzip2/bzip2.i,2137,62399068,33.963801,O0
3979187.0,969432.0,2136135,77077332,0,0,275846751.0,338895077,401.bzip2/bzlib.i,3143,115115753,74.189099,O0
4239263.0,1275350.0,1067268,102077150,0,0,299241320.0,468602201,401.bzip2/compress.i,4948,124311230,77.404537,O0
405058.0,431793.0,154090,7769472,0,0,29569661.0,36712688,401.bzip2/crctable.i,1219,15716210,8.886904,O0
4444042.0,1450015.0,1028630,87206462,0,1,242660307.0,390103177,401.bzip2/decompress.i,4712,97437193,67.889652,O0
845118.0,243169.0,456807,17040522,0,0,72924678.0,59447272,401.bzip2/huffman.i,1775,31915867,19.76662,O0
402871.0,403893.0,155255,7999944,0,0,29566660.0,37914328,401.bzip2/randtable.i,1237,15388238,8.943177,O0
1642010.0,462172.0,1050279,38025816,0,0,133015005.0,163168484,401.bzip2/spec.i,2075,62015330,36.990101,O0
6129261.0,1446241.0,2988009,120655346,0,0,413981745.0,533998285,403.gcc/alias.i,4780,190597382,109.709392,O0
506124.0,197172.0,312248,15508561,0,0,44457835.0,62894555,403.gcc/alloca.i,1628,15769088,14.561242,O0
166376.0,333259.0,172512,9314954,0,0,29563240.0,44998066,403.gcc/asprintf.i,1167,12977059,8.353775,O0
3441538.0,869100.0,1803419,66390268,0,0,304111033.0,289744318,403.gcc/attribs.i,3666,194835059,83.016077,O0
1590889.0,518736.0,609888,29769038,0,0,150340221.0,133710808,403.gcc/bb-reorder.i,2841,85959371,41.459403,O0
2121708.0,618073.0,1140762,45548291,0,1,203324188.0,213058200,403.gcc/bitmap.i,2786,115697549,54.20825,O0
8835654.0,1990648.0,4454625,164885670,0,0,642423158.0,707703256,403.gcc/builtins.i,5417,372980282,176.131948,O0
1826582.0,564984.0,778363,41420749,0,0,133093919.0,196556640,403.gcc/c-aux-info.i,2979,58369935,39.114624,O0
10448552.0,2497568.0,4503517,211987251,0,0,703761353.0,922832691,403.gcc/c-common.i,7131,306720216,184.999818,O0
967089.0,338970.0,396295,21257591,0,0,92474955.0,111073893,403.gcc/c-convert.i,2372,46380360,24.961273,O0
13821616.0,3379474.0,5511599,246416403,0,0,828444843.0,1078955537,403.gcc/c-decl.i,7484,376382531,219.08735,O0
955044.0,359447.0,401813,22711882,0,0,91609434.0,116493842,403.gcc/c-errors.i,2530,44443265,24.736282,O0
4656913.0,1166677.0,1852968,93284374,0,0,319653636.0,407414874,403.gcc/c-format.i,4508,153959226,84.077359,O0
901326.0,385969.0,396410,24708655,0,0,96991528.0,117862030,403.gcc/c-lang.i,2517,48036900,25.891804,O0
3063009.0,846090.0,1512005,62880977,0,0,224923736.0,289391943,403.gcc/c-lex.i,3946,106140287,61.145969,O0
1751945.0,642578.0,947076,40729831,0,0,147604300.0,178805008,403.gcc/c-objc-common.i,3168,65724131,41.238375,O0
7090758.0,2410535.0,1995609,166589755,0,1,520064060.0,772367590,403.gcc/c-parse.i,6990,221410086,137.967387,O0
1682834.0,480365.0,751864,39198001,0,0,137034911.0,176666272,403.gcc/c-pragma.i,3096,64303230,37.171156,O0
2502084.0,827104.0,1427431,54809214,0,0,201308519.0,245595991,403.gcc/c-semantics.i,3420,97047804,54.233727,O0
14127003.0,3157419.0,5867347,260543899,0,0,849247843.0,1138287485,403.gcc/c-typeck.i,7319,377814188,220.682767,O0
3285894.0,791791.0,1440215,68198558,0,0,223766321.0,303136127,403.gcc/caller-save.i,3525,101679490,61.582047,O0
9082824.0,2178087.0,3480335,179523705,0,1,566250472.0,803781544,403.gcc/calls.i,5993,235435277,148.286297,O0
2717212.0,776031.0,1439771,62310854,0,0,222382414.0,274199443,403.gcc/cfg.i,3543,109848381,61.269618,O0
3080858.0,756689.0,1631165,67928735,0,0,227689079.0,297688926,403.gcc/cfganal.i,3321,111799453,62.735177,O0
2597422.0,768042.0,1313351,56030369,0,0,197283833.0,249680365,403.gcc/cfgbuild.i,3395,95372611,52.639207,O0
4318412.0,1119029.0,1833312,87934237,0,0,298209571.0,398856042,403.gcc/cfgcleanup.i,3915,133565810,79.806917,O0
2026797.0,593245.0,931095,44439063,0,0,150208374.0,191690469,403.gcc/cfglayout.i,3060,62766897,41.366587,O0
2408078.0,701190.0,1290139,49497031,0,0,191839955.0,247727380,403.gcc/cfgloop.i,3064,86619300,51.020939,O0
4756431.0,1212464.0,2533341,107033646,0,0,349228800.0,469560338,403.gcc/cfgrtl.i,4331,155650384,93.829758,O0
28692540.0,6441788.0,8940450,524483554,0,0,1532241079.0,2291832499,403.gcc/combine.i,11410,623038108,399.625902,O0
690624.0,256471.0,472721,16466147,0,0,70125830.0,59195631,403.gcc/concat.i,1712,30441229,19.010765,O0
1491868.0,373287.0,799106,35400987,0,0,118244719.0,171702073,403.gcc/conflict.i,2699,61039235,36.052625,O0
