L1-dcache-load-misses,LLC-loads,branch-misses,branches,context-switches,cpu-migrations,cycles,instructions,name,page-faults,stalled-cycles-frontend,task-clock,opt
1365171,465916,1027191,36505568,3,2,178868701.0,147220741,400.perlbench/Base64.i,2247,100023481,50.519239,O0
1036916,337468,798475,31893521,1,1,141472055.0,150315271,400.perlbench/Cwd.i,2091,76030815,41.181463,O0
2661016,1098425,1593437,68436659,1,0,315318540.0,327974892,400.perlbench/Dumper.i,2991,200514498,91.615818,O0
1103848,390546,692444,30316086,1,0,140412522.0,129532579,400.perlbench/DynaLoader.i,2014,85507278,42.820892,O0
1320683,453110,1057361,34279247,1,0,172926593.0,149300261,400.perlbench/HiRes.i,2236,98001209,47.022167,O0
902450,273075,685614,28874574,1,0,126768089.0,139688346,400.perlbench/Hostname.i,2007,74642737,37.283843,O0
1493987,579316,1044849,43621293,1,0,200852122.0,215636433,400.perlbench/IO.i,2431,112674397,56.007463,O0
1732089,660790,1165511,54430451,1,0,231189044.0,267333824,400.perlbench/MD5.i,2864,123370005,65.489605,O0
1829239,674980,1343404,52024465,1,0,233829934.0,250456505,400.perlbench/Opcode.i,2607,130170364,64.693513,O0
3865896,1439850,2527240,102598279,1,0,426306183.0,484590233,400.perlbench/Parser.i,3683,226045426,114.355391,O0
1500838,596252,1022239,43638355,1,0,207722544.0,217264748,400.perlbench/Peek.i,2435,111328795,56.170883,O0
8819829,3565477,4918613,214634796,1,0,886593539.0,1009887450,400.perlbench/Storable.i,5886,464948519,238.181321,O0
1026889,320284,791683,31565960,1,0,141209766.0,150251800,400.perlbench/attrs.i,2085,76321433,40.8819,O0
2508138,883339,1839121,62565399,1,0,286047403.0,313947893,400.perlbench/av.i,2823,159964305,78.681419,O0
852974,197608,641680,26739814,1,0,111813156.0,129432850,400.perlbench/deb.i,1971,75710992,35.879978,O0
3105949,1213820,2052924,80647047,1,0,344150922.0,381942888,400.perlbench/doio.i,3264,186525163,93.475375,O0
2690098,934881,1882205,72740817,1,0,318126459.0,345001538,400.perlbench/doop.i,3254,174396512,86.556096,O0
3120303,1140972,2086563,84214897,1,0,356339930.0,407261164,400.perlbench/dump.i,3332,185370310,96.542048,O0
1407251,485230,989770,51188323,1,0,205283311.0,259862008,400.perlbench/globals.i,2644,102879725,57.741818,O0
3295993,1240390,2348590,84573121,1,0,356161531.0,396257552,400.perlbench/gv.i,3295,187439451,98.737047,O0
2698357,984976,1946532,71467073,1,0,314385561.0,341267066,400.perlbench/hv.i,3097,172630381,86.098309,O0
854617,195964,623099,26708064,1,0,111927495.0,129002765,400.perlbench/locale.i,1938,75245726,35.704237,O0
4079471,1667231,2868891,101759017,1,0,448448505.0,496304055,400.perlbench/mg.i,3910,245113706,122.806784,O0
1540037,556422,1119408,46652698,1,0,207834344.0,223521046,400.perlbench/numeric.i,2500,115831050,58.123279,O0
9236254,3778321,6412283,218050539,1,0,966575118.0,1035930994,400.perlbench/op.i,6322,526936203,254.490974,O0
1991456,700180,1465423,56515886,1,0,234522023.0,274254467,400.perlbench/pad.i,2759,127961722,67.506981,O0
4075233,1588479,2844202,105131554,1,0,453853921.0,498701929,400.perlbench/perl.i,4204,239817049,125.962872,O0
820231,223572,512013,24437039,1,0,114761103.0,120036602,400.perlbench/perlapi.i,1812,76727385,35.138673,O0
4768295,1955532,3708482,116044460,1,0,530735520.0,544991205,400.perlbench/perlio.i,4122,302417765,141.666206,O0
857635,229356,630246,27117981,1,0,118495183.0,130996975,400.perlbench/perlmain.i,1957,75909809,36.282329,O0
1932665,572151,1154883,76520868,1,0,254726072.0,355739955,400.perlbench/perly.i,3034,115363040,72.358075,O0
965600,303243,667446,28499286,1,0,126796549.0,137529572,400.perlbench/poll.i,2037,78063044,39.93977,O0
10013423,3968861,6443217,227614268,1,0,1038951745.0,1096568364,400.perlbench/pp.i,6510,583616383,275.844494,O0
7012785,2717837,4553337,158982910,1,0,705790827.0,743210403,400.perlbench/pp_ctl.i,5545,375437024,187.347702,O0
5835319,2306835,3777342,141583398,1,0,609692618.0,672820712,400.perlbench/pp_hot.i,4613,329038136,161.295555,O0
3351929,1261244,2154668,86092369,1,0,372308692.0,408989317,400.perlbench/pp_pack.i,3407,196689415,100.526486,O0
2078088,778353,1552757,62245820,1,0,257863141.0,273537482,400.perlbench/pp_sort.i,2883,130968281,72.097456,O0
6523227,2668649,4299296,151268213,1,0,675992204.0,707013517,400.perlbench/pp_sys.i,5019,362881914,179.020081,O0
6690814,2634378,3974187,168456568,1,0,688568656.0,807764796,400.perlbench/regcomp.i,4946,339012733,184.362398,O0
6014270,2235541,3442253,152013496,1,0,618337816.0,744673400,400.perlbench/regexec.i,4871,320510852,163.224676,O0
819045,205508,544161,25395608,1,0,114296777.0,123374828,400.perlbench/run.i,1916,75236618,34.250076,O0
2326645,889752,1644774,60163344,1,0,269906573.0,264151605,400.perlbench/scope.i,3175,151607864,73.587037,O0
422147,195164,253942,10203814,1,0,23359298.0,47361735,400.perlbench/specrand.i,1283,15283572,11.200634,O0
449400,184078,302764,11478339,1,0,37701329.0,49446304,400.perlbench/stdio.i,1335,15528631,13.398912,O0
9853599,4063642,6526864,232712782,1,0,1078407706.0,1099889498,400.perlbench/sv.i,6833,606235495,284.459776,O0
1070790,328662,749625,31776999,1,0,141990224.0,151128886,400.perlbench/taint.i,2124,77559966,40.909086,O0
11884112,4538190,6673090,295886206,1,0,1240250665.0,1365426119,400.perlbench/toke.i,8206,673027228,326.583925,O0
2128707,818244,1581645,59599383,1,0,259516711.0,259698609,400.perlbench/universal.i,2878,148140145,72.538948,O0
2975595,1249925,2204125,80399680,1,0,337783396.0,372866432,400.perlbench/utf8.i,3281,195280612,95.941568,O0
3725303,1494133,2810007,99454573,1,0,425367251.0,465708988,400.perlbench/util.i,3816,235899635,118.32801,O0
1345936,459384,1017195,36448246,1,0,171565392.0,177311134,400.perlbench/xsutils.i,2303,102085581,48.511941,O0
1332818,474093,1021476,42819058,1,0,148162694.0,190286285,401.bzip2/blocksort.i,2034,61416802,44.264431,O0
667594,280484,649967,26323895,1,0,118173853.0,126046109,401.bzip2/bzip2.i,1772,61842027,32.280054,O0
2020021,742499,1441431,55758914,1,0,216693608.0,271796865,401.bzip2/bzlib.i,2428,120395179,62.999138,O0
1609525,509496,973119,44390181,1,0,166793341.0,193606750,401.bzip2/compress.i,2431,75895599,47.275378,O0
443455,157641,305271,13297596,1,0,38195392.0,51549721,401.bzip2/crctable.i,1329,14272326,15.65071,O0
1976043,725092,987586,51800071,1,0,194591780.0,258871997,401.bzip2/decompress.i,2824,92485735,54.300528,O0
615919,215636,433160,16792049,1,0,70242094.0,88020909,401.bzip2/huffman.i,1544,37031443,21.065768,O0
448468,154959,305462,13469069,1,0,38181527.0,51424599,401.bzip2/randtable.i,1341,14266714,15.770318,O0
769226,321349,644441,25874836,1,0,107438442.0,123754504,401.bzip2/spec.i,1702,58802243,31.200644,O0
3423876,1277941,2308668,88004233,1,0,401566333.0,430009040,403.gcc/alias.i,3495,227742802,106.760885,O0
500953,165251,370168,16572922,1,0,69871992.0,89268622,403.gcc/alloca.i,1506,36714061,20.873809,O0
409660,186777,269280,10576247,1,0,23241804.0,49196170,403.gcc/asprintf.i,1340,14413492,11.387125,O0
1837269,714788,1397359,54451557,1,0,232422092.0,276356721,403.gcc/attribs.i,2637,130855366,68.403825,O0
976192,312988,758440,31913465,1,0,141379038.0,150235133,403.gcc/bb-reorder.i,2083,76330796,41.565972,O0
1311063,475542,1018407,34735934,1,0,169215279.0,149865928,403.gcc/bitmap.i,2149,93146676,47.890853,O0
4198434,1591039,3121404,113687304,1,0,488356130.0,495773679,403.gcc/builtins.i,4188,269635019,129.588072,O0
1195355,392582,909128,36586370,1,0,161902702.0,155230203,403.gcc/c-aux-info.i,2169,94652096,44.440296,O0
6405035,2570586,3667815,162157481,1,0,688966294.0,733589439,403.gcc/c-common.i,5798,378903163,185.148998,O0
675772,195371,603489,27005668,1,0,111966487.0,131224295,403.gcc/c-convert.i,1815,64960241,32.907338,O0
7312505,2918213,4397629,177800176,1,0,747374297.0,816250879,403.gcc/c-decl.i,5208,414491965,202.471594,O0
731877,201079,567342,25648756,1,0,113433005.0,126605439,403.gcc/c-errors.i,1895,71359707,34.114165,O0
2617132,896320,1790847,72368679,1,0,311801391.0,368685189,403.gcc/c-format.i,3044,163409192,84.692172,O0
821084,230380,652522,28261757,1,0,128146018.0,139070468,403.gcc/c-lang.i,1934,75275389,36.422224,O0
1673171,647841,1309702,52926319,1,0,233199249.0,266925956,403.gcc/c-lex.i,2750,130889417,67.690352,O0
1293836,492263,980952,36472677,1,0,186880705.0,197330942,403.gcc/c-objc-common.i,2351,109704086,52.472385,O0
3929543,1351988,2019062,124508158,1,0,443305151.0,575041958,403.gcc/c-parse.i,4438,234308030,123.563157,O0
1164417,416323,906873,34930730,1,0,174498005.0,174493793,403.gcc/c-pragma.i,2247,105106530,48.802413,O0
1509383,632444,1074962,46675911,1,1,218450626.0,229495605,403.gcc/c-semantics.i,2545,123804088,59.033171,O0
7098288,2939044,4481528,180637210,1,0,764689229.0,846353501,403.gcc/c-typeck.i,5364,413612601,205.196011,O0
1645555,577198,1193703,50440844,1,0,216308073.0,248943986,403.gcc/caller-save.i,2508,121894887,62.272481,O0
3872404,1579547,2650396,107181006,1,0,447191716.0,522373187,403.gcc/calls.i,3725,234100925,121.835507,O0
1576906,589690,1212504,51289580,1,0,223216115.0,251195178,403.gcc/cfg.i,2572,126622775,64.172917,O0
1673313,609580,1236120,48885230,1,0,216296325.0,239828423,403.gcc/cfganal.i,2437,122438180,61.24328,O0
1527198,541675,1022830,47687707,1,0,214701675.0,229841274,403.gcc/cfgbuild.i,2491,119634629,59.630321,O0
2340836,846435,1714424,59589646,1,0,283364695.0,270332898,403.gcc/cfgcleanup.i,2776,150017540,75.718715,O0
1365228,474507,1005624,36142660,1,0,183343314.0,195739338,403.gcc/cfglayout.i,2331,106438873,50.620912,O0
1431390,520219,1062843,37095680,1,0,182359060.0,196301300,403.gcc/cfgloop.i,2175,106194622,51.172182,O0
2713319,1034710,1975979,76397239,1,0,328952284.0,371703291,403.gcc/cfgrtl.i,3180,185259276,92.251017,O0
13588183,4972124,7218366,329006687,1,0,1320362434.0,1566098371,403.gcc/combine.i,7596,682165905,346.964303,O0
590390,219070,441118,20098622,1,0,83632087.0,101829920,403.gcc/concat.i,1566,45484207,24.752861,O0
1130224,382122,928717,35147214,1,0,144151694.0,153554107,403.gcc/conflict.i,2063,76150696,42.942149,O0
1064872,328353,834047,34056270,1,0,141583134.0,161703148,403.gcc/convert.i,2010,74152547,41.058571,O0
527903,177945,327065,16569716,1,0,80812601.0,96140172,403.gcc/cppdefault.i,1498,45628013,23.918765,O0
885791,318494,816986,31153946,1,0,126649604.0,148418685,403.gcc/cpperror.i,1837,72378980,37.961131,O0
1356211,482531,1028024,36556434,1,0,167560407.0,158543836,403.gcc/cppexp.i,2128,89180956,47.339123,O0
1511169,580687,1241951,40536696,1,0,187558421.0,207408914,403.gcc/cppfiles.i,2209,106338304,52.451051,O0
584008,204341,563016,26438989,1,0,110219668.0,126900291,403.gcc/cpphash.i,1779,62127782,31.91103,O0
1823772,768675,1392928,56912608,1,0,240125023.0,267482436,403.gcc/cppinit.i,2544,130461742,65.078517,O0
2288875,916256,1845238,62725822,1,0,282832378.0,302136702,403.gcc/cpplex.i,2775,155899731,76.561182,O0
2070764,824090,1577043,56871988,1,0,250568411.0,262695559,403.gcc/cpplib.i,2606,137259357,69.110264,O0
1838357,663653,1414992,54303665,1,0,218050074.0,256405225,403.gcc/cppmacro.i,2479,127625377,63.62031,O0
8334307,3050554,5022765,215098073,1,0,868931846.0,1025766892,403.gcc/cse.i,5800,446538530,226.853941,O0
2094554,795056,1668056,55157808,1,1,272382607.0,259739989,403.gcc/cselib.i,2713,147144027,74.847679,O0
2954803,1108646,1972277,78616937,1,0,339979635.0,395862173,403.gcc/dbxout.i,3159,180430534,92.371459,O0
524486,216316,376614,21096395,1,0,87800299.0,102055194,403.gcc/debug.i,1593,50267913,25.806367,O0
1787580,678888,1417395,55990025,1,0,248569460.0,279877775,403.gcc/dependence.i,2669,126835403,68.438066,O0
4835876,1929392,3389032,121536774,1,0,527085655.0,589380562,403.gcc/df.i,4197,280601045,140.534047,O0
2127968,891599,1789936,57699219,1,0,261586888.0,249004247,403.gcc/diagnostic.i,2590,150160450,72.633333,O0
1400016,472718,979808,36527681,1,0,179987367.0,195390097,403.gcc/doloop.i,2313,105121283,50.77083,O0
1089253,350635,856846,34780761,1,0,141282596.0,154549737,403.gcc/dominance.i,1968,74299965,42.88309,O0
1515998,583651,1183781,47421614,1,1,219469932.0,233611440,403.gcc/dwarf2asm.i,2401,122307582,59.191908,O0
9159947,3884874,6332635,222040145,1,0,999290271.0,1042791690,403.gcc/dwarf2out.i,6341,552918865,265.355615,O0
355665,96529,250949,12778212,1,0,38068728.0,51591198,403.gcc/dwarfout.i,1276,14507895,15.613687,O0
5676433,2321129,4081684,137472369,1,1,644961401.0,669653930,403.gcc/emit-rtl.i,5188,363724567,171.729365,O0
