"name","L1-dcache-load-misses","L1-dcache-loads","LLC-loads","branch-misses","branches","context-switches","cpu-migrations","cycles","instructions","page-faults","task-clock","opt"
"400.perlbench/Base64.i",1441307,547503,900554,39110280,131,1,189188896,204750827,2330,105429086,52.598716,"O0"
"400.perlbench/Cwd.i",1053394,324564,809883,32113911,11,0,142948740,150638130,2106,80131424,41.223025,"O0"
"400.perlbench/Dumper.i",2319153,852774,1519021,66760710,7,0,275359638,302503992,2995,144013999,76.724502,"O0"
"400.perlbench/DynaLoader.i",897968,275943,659208,28829195,1,0,129137890,139097699,2012,75623968,37.069538,"O0"
"400.perlbench/HiRes.i",1312055,456161,1027589,36165621,3,0,173068330,147330617,2219,99399150,47.919475,"O0"
"400.perlbench/Hostname.i",905458,279098,671715,28826044,1,1,128625856,139199294,2005,76717104,37.376623,"O0"
"400.perlbench/IO.i",1539411,576688,1081018,43315943,1,1,202405864,214665953,2432,114959473,55.051439,"O0"
"400.perlbench/MD5.i",1722251,657945,1109894,54335313,1,0,235478662,266533024,2870,125727454,64.97231,"O0"
"400.perlbench/Opcode.i",1872047,714307,1410859,52367734,3,0,240803003,250993335,2607,131168492,67.155,"O0"
"400.perlbench/Parser.i",3790515,1459505,2461203,101862226,3,0,430232340,481798201,3685,234470090,115.851233,"O0"
"400.perlbench/Peek.i",1505772,591839,1051303,43591115,1,0,200951067,216623085,2430,112767618,56.043028,"O0"
"400.perlbench/Storable.i",8599822,3504934,4993493,210228446,1,1,914094529,961309972,5850,500235229,243.256278,"O0"
"400.perlbench/attrs.i",1039172,349390,765737,31618313,1,0,133042744,152401332,2082,75232601,40.349015,"O0"
"400.perlbench/av.i",2515659,891734,1843391,64662279,1,0,287047714,309210402,2850,163183791,77.514112,"O0"
"400.perlbench/deb.i",855719,245621,625613,26681285,1,0,126666395,128849881,1975,78275079,36.715706,"O0"
"400.perlbench/doio.i",3115306,1204969,2092996,79303419,1,0,351825115,375974583,3282,190701140,98.192859,"O0"
