L1-dcache-load-misses,LLC-loads,branch-misses,branches,context-switches,cpu-migrations,cycles,instructions,name,page-faults,stalled-cycles-frontend,task-clock,opt
2419731.0,660224.0,987658,48098596,0,0,175566855,195143498,400.perlbench/Base64.i,3368,75437777,47.366802,O0
1294913.0,359231.0,590884,31724154,0,0,118240128,158185330,400.perlbench/Cwd.i,2928,56016812,32.913895,O0
4775758.0,1228330.0,1569263,98567539,0,0,308482533,455608852,400.perlbench/Dumper.i,4940,127303181,83.610029,O0
908988.0,392164.0,370189,25848401,0,0,103095813,136132845,400.perlbench/DynaLoader.i,2737,47721879,27.942675,O0
2080279.0,618319.0,1038305,45186191,0,0,147798066,188004014,400.perlbench/HiRes.i,3177,61641541,43.359147,O0
1046686.0,385632.0,431669,25977360,0,0,104772102,135020455,400.perlbench/Hostname.i,2734,49527644,28.361163,O0
2728390.0,763419.0,1485057,61803367,0,0,211024469,277018449,400.perlbench/IO.i,3429,97200836,56.499548,O0
3126681.0,731467.0,1236422,75429092,0,0,224534046,328094255,400.perlbench/MD5.i,3940,106636528,63.389393,O0
3344672.0,985417.0,1834298,72989108,0,0,236860010,324358502,400.perlbench/Opcode.i,3698,107510544,67.784856,O0
8272565.0,1947405.0,3495263,153548776,0,0,520993511,682129567,400.perlbench/Parser.i,5729,238231377,138.238899,O0
2713185.0,787622.0,1412734,59813987,0,0,208384153,266284240,400.perlbench/Peek.i,3494,96820354,56.261355,O0
17936326.0,4159369.0,6589954,351620457,0,1,1072191275,1561742794,400.perlbench/Storable.i,9529,451919013,287.207146,O0
1288794.0,365030.0,559963,31194958,0,0,118253162,156870369,400.perlbench/attrs.i,2935,54484866,32.243395,O0
4286611.0,1162726.0,1974483,93617953,0,0,307668452,401821907,400.perlbench/av.i,4104,139313064,82.258872,O0
904994.0,402725.0,371398,25254317,0,0,101663682,133516041,400.perlbench/deb.i,2731,47761663,27.555506,O0
6133828.0,1457386.0,2427064,115867446,0,0,381144699,485714817,400.perlbench/doio.i,5196,167438570,101.942418,O0
5072367.0,1126258.0,2191373,103312410,0,0,334167764,466440339,400.perlbench/doop.i,4538,149502422,89.167201,O0
6266303.0,1505035.0,2230791,123557590,0,0,387567572,544731141,400.perlbench/dump.i,5195,160124409,101.933229,O0
1414707.0,482749.0,568898,36805413,0,0,118254590,169465777,400.perlbench/globals.i,3053,61479074,35.193865,O0
6335758.0,1563564.0,2483685,113351941,0,0,386107493,468592376,400.perlbench/gv.i,4897,177149074,103.187481,O0
4675505.0,1149237.0,2543481,95080132,0,0,333493052,436255228,400.perlbench/hv.i,4415,156222593,89.818036,O0
930472.0,402949.0,364404,25290476,0,0,103256683,133270126,400.perlbench/locale.i,2724,49229815,27.986255,O0
8290145.0,1982016.0,3766682,153303959,0,0,527966037,663574966,400.perlbench/mg.i,5586,249470749,140.621378,O0
2916302.0,795782.0,1382584,59665781,0,0,210273602,270257869,400.perlbench/numeric.i,3619,97773966,56.684525,O0
18515776.0,4568398.0,8714053,345472212,0,0,1150263483,1520841709,400.perlbench/op.i,8789,506325254,305.144445,O0
3470776.0,999295.0,1613757,75321119,0,0,236970155,329539149,400.perlbench/pad.i,3793,106821923,67.98238,O0
7892516.0,1893739.0,3325749,149269438,0,1,493503084,618976143,400.perlbench/perl.i,5329,223083879,129.680163,O0
1000493.0,363348.0,311917,17877540,0,0,79136439,93796739,400.perlbench/perlapi.i,2400,41026920,21.455278,O0
8292187.0,2302299.0,5553448,173042837,0,0,649590611,762605549,400.perlbench/perlio.i,5675,315849172,171.52185,O0
918774.0,393770.0,381633,25974470,0,0,100993835,136980628,400.perlbench/perlmain.i,2726,45892356,27.375558,O0
3962735.0,811692.0,1101719,90410095,0,0,271417232,393586065,400.perlbench/perly.i,4631,109508977,72.456348,O0
1048957.0,355689.0,456196,29223141,0,0,110802853,148915734,400.perlbench/poll.i,2929,50325843,30.036077,O0
19454843.0,4408161.0,9355438,375412535,0,0,1232514438,1653985626,400.perlbench/pp.i,9081,527524495,320.593653,O0
13687778.0,3285835.0,6007548,249568236,0,0,820549890,1119367887,400.perlbench/pp_ctl.i,7207,358013726,217.158679,O0
11507452.0,2676317.0,4719853,214267197,0,0,702657714,926103068,400.perlbench/pp_hot.i,6530,296989959,186.644068,O0
7092175.0,2018211.0,2232947,127017580,0,0,414913620,547027754,400.perlbench/pp_pack.i,5687,196085575,109.422372,O0
4264628.0,1176791.0,1843419,81130735,0,0,287165906,344537866,400.perlbench/pp_sort.i,4275,118316220,76.093607,O0
12263494.0,3095155.0,5981421,232737517,0,0,807761012,997774894,400.perlbench/pp_sys.i,6775,370427091,214.421924,O0
15301550.0,4151269.0,4834562,263769621,0,0,837263882,1177056521,400.perlbench/regcomp.i,9155,358635925,218.199863,O0
15290767.0,4255204.0,4277554,253666312,0,0,769669908,1128049878,400.perlbench/regexec.i,8784,329148846,206.449649,O0
