L1-dcache-load-misses,LLC-loads,branch-misses,branches,context-switches,cpu-migrations,cycles,instructions,name,page-faults,stalled-cycles-frontend,task-clock,opt
2600542,756523.0,1007893,52043556,0,0,190995189,240334811,400.perlbench/Base64.i,3662,92219505,49.874068,O0
1782861,433603.0,686263,37137666,0,0,133019167,167336990,400.perlbench/Cwd.i,3208,63732611,36.514775,O0
5281251,1176957.0,1689916,108947854,0,0,325145387,483842858,400.perlbench/Dumper.i,5206,146159009,90.597678,O0
1199690,308034.0,472423,30170887,0,0,113784522,142946855,400.perlbench/DynaLoader.i,3054,55387353,30.843113,O0
2264849,696336.0,1105459,48250292,0,0,178183834,214147514,400.perlbench/HiRes.i,3458,89130045,48.305927,O0
1273459,305551.0,479283,30601492,0,0,115291219,142691934,400.perlbench/Hostname.i,3050,56927418,31.249893,O0
2857519,749605.0,1363955,66150265,0,0,221699456,289946524,400.perlbench/IO.i,3708,108825410,62.209322,O0
3311976,929650.0,1313039,77521700,0,0,251256751,328442474,400.perlbench/MD5.i,4184,110681636,69.3815,O0
3583468,1037951.0,1875459,75160660,0,0,277214404,314260052,400.perlbench/Opcode.i,4010,125559483,74.468547,O0
8955957,1999650.0,3603361,165015539,0,0,560525638,733545022,400.perlbench/Parser.i,5879,251137417,149.180912,O0
2924977,775821.0,1359374,63786142,0,0,221691923,283755041,400.perlbench/Peek.i,3747,107839438,61.302828,O0
18355676,4468377.0,6631070,380758975,0,0,1171895983,1648313211,400.perlbench/Storable.i,9047,507610574,308.09104,O0
1745927,355255.0,656246,36700571,0,0,118236545,165242161,400.perlbench/attrs.i,3192,64137420,35.937508,O0
4924172,1140260.0,2062647,96057620,0,0,333619316,429220200,400.perlbench/av.i,4390,159595591,88.554722,O0
1202391,311312.0,455479,29580043,0,0,113455969,141013298,400.perlbench/deb.i,3044,55991007,30.754019,O0
6489919,1529349.0,2323536,121377118,0,0,415118073,530137894,400.perlbench/doio.i,5302,196047541,110.746424,O0
5536047,1301362.0,2178888,111981770,0,0,360129312,468656547,400.perlbench/doop.i,4811,156812011,98.276602,O0
6573165,1621258.0,1985909,134875621,0,0,423728945,562905912,400.perlbench/dump.i,5553,200355798,113.466419,O0
1529420,569006.0,623953,38968418,0,0,133021597,181050993,400.perlbench/globals.i,3347,64877879,38.936591,O0
6822181,1653541.0,2715942,118231128,0,0,421262353,525729647,400.perlbench/gv.i,5188,199740153,112.363851,O0
5047737,1305526.0,2580477,105593609,0,0,360110073,447192799,400.perlbench/hv.i,4640,165575761,98.496876,O0
1201586,320032.0,466840,29515919,0,0,113814177,141429349,400.perlbench/locale.i,3033,56319570,30.851011,O0
8873693,2150856.0,4167565,166179489,0,0,575675918,740660217,400.perlbench/mg.i,5826,254076280,153.390909,O0
3025722,768491.0,1472459,65654157,0,0,222761123,295303541,400.perlbench/numeric.i,3917,108331305,62.471491,O0
19510661,4647188.0,8585810,373578415,0,0,1249044392,1640019594,400.perlbench/op.i,9076,564266392,331.758524,O0
3724962,1046147.0,1739613,76782157,0,0,274932842,320830195,400.perlbench/pad.i,4109,125948670,74.523045,O0
8374560,2004160.0,3345745,154612611,0,0,538589311,691254628,400.perlbench/perl.i,5563,248018880,139.139954,O0
1159476,395208.0,357833,20837663,0,0,90223787,100988158,400.perlbench/perlapi.i,2687,48982464,24.46427,O0
9188867,2550130.0,5732516,190538378,0,0,714061846,837450690,400.perlbench/perlio.i,5911,349676371,193.546215,O0
1238159,306240.0,444609,30152016,0,0,112400788,143691932,400.perlbench/perlmain.i,3049,54181072,30.468356,O0
