L1-dcache-load-misses,LLC-loads,branch-misses,branches,context-switches,cpu-migrations,cycles,instructions,name,page-faults,stalled-cycles-frontend,task-clock,opt
2340328.0,629687.0,1014244,49031307,0,0,172791900.0,197697321,400.perlbench/Base64.i,3257,73767436,46.836615,O0
1211682.0,337386.0,624490,31982098,0,0,118244379.0,158661293,400.perlbench/Cwd.i,2852,55125657,32.879764,O0
4736163.0,1214408.0,1623816,99033229,0,0,311028040.0,457373349,400.perlbench/Dumper.i,4821,128457717,83.620054,O0
1014890.0,360555.0,450949,26879313,0,2,106527204.0,135911313,400.perlbench/DynaLoader.i,2671,51030972,29.034988,O0
2100219.0,615859.0,1105467,45699937,0,0,164920690.0,180989271,400.perlbench/HiRes.i,3089,79355220,44.677456,O0
1010407.0,375322.0,450311,26183783,0,0,106280846.0,135404491,400.perlbench/Hostname.i,2684,50660921,28.399785,O0
2535256.0,681477.0,1488692,62628816,0,1,216922946.0,277480238,400.perlbench/IO.i,3343,101848587,58.54719,O0
3109645.0,706037.0,1296084,75917998,0,0,223944358.0,327996085,400.perlbench/MD5.i,3802,104345119,63.0372,O0
3252026.0,966284.0,1934229,73339361,0,0,253211688.0,324679923,400.perlbench/Opcode.i,3572,109116605,68.494301,O0
8256918.0,1868000.0,3552500,152172854,0,0,514950059.0,683068254,400.perlbench/Parser.i,5483,229563102,135.114217,O0
2427363.0,760662.0,1385783,60289179,0,0,208543374.0,267347805,400.perlbench/Peek.i,3406,95334231,56.075718,O0
17702904.0,4146456.0,6876039,351163514,0,0,1085214655.0,1566876720,400.perlbench/Storable.i,8533,444355816,282.602546,O0
1209993.0,344225.0,598783,31612521,0,1,118245604.0,156715714,400.perlbench/attrs.i,2831,54381386,32.410399,O0
4277695.0,1162876.0,2052007,93785656,0,0,311613292.0,402356175,400.perlbench/av.i,3945,143099017,82.147283,O0
852087.0,384151.0,387964,25310084,0,0,103024242.0,133108559,400.perlbench/deb.i,2680,48093396,27.436064,O0
6021958.0,1454495.0,2532709,116600238,0,0,378117811.0,491209775,400.perlbench/doio.i,4967,164450813,101.579923,O0
4945838.0,1151553.0,2254774,104417951,0,0,336237341.0,468490133,400.perlbench/doop.i,4358,146886647,88.974068,O0
6087664.0,1458331.0,2313379,127498029,0,0,389773379.0,579506353,400.perlbench/dump.i,5093,162602135,104.208249,O0
1310662.0,484344.0,605516,36709078,0,0,118247577.0,169929910,400.perlbench/globals.i,3008,60009098,35.028454,O0
6344746.0,1551684.0,2573115,114355117,0,0,386426374.0,470313929,400.perlbench/gv.i,4715,176382672,102.887013,O0
4676158.0,1135151.0,2672749,96376881,0,0,328643664.0,436519415,400.perlbench/hv.i,4251,153436122,91.130752,O0
851942.0,389319.0,394864,25606362,0,0,102486389.0,133740150,400.perlbench/locale.i,2667,48031928,27.777645,O0
8120583.0,1971173.0,3883740,154643292,0,0,540539574.0,662423832,400.perlbench/mg.i,5426,254911771,142.742948,O0
2804862.0,757268.0,1432770,60701279,0,0,217125380.0,272486027,400.perlbench/numeric.i,3527,102820305,58.499713,O0
18377900.0,4576560.0,9063937,349966782,0,1,1172931538.0,1522513095,400.perlbench/op.i,8569,520785352,307.088179,O0
3368654.0,997973.0,1737025,75990597,0,0,253664088.0,322662215,400.perlbench/pad.i,3681,110728524,69.928169,O0
8110883.0,2058621.0,3545695,147735646,0,0,574079964.0,664217522,400.perlbench/perl.i,5165,294575728,152.491722,O0
1035836.0,376903.0,311109,16517352,0,0,84794075.0,91485882,400.perlbench/perlapi.i,2352,47644518,22.985184,O0
8931895.0,2465950.0,6024787,177372857,0,0,666924782.0,774906508,400.perlbench/perlio.i,5527,335576951,179.942721,O0
882911.0,374133.0,383804,26012209,0,0,102148825.0,136313108,400.perlbench/perlmain.i,2681,46732020,27.686942,O0
3883569.0,796117.0,1137308,89884254,0,0,269247594.0,391580311,400.perlbench/perly.i,4491,105324728,72.935191,O0
1047683.0,316123.0,485946,29294438,0,0,111240452.0,148620287,400.perlbench/poll.i,2849,50397171,30.152622,O0
19593215.0,4511792.0,9641156,376860172,0,0,1237210180.0,1657696505,400.perlbench/pp.i,8849,533582233,329.056822,O0
13637668.0,3292761.0,6196758,251135583,0,0,822093027.0,1125955176,400.perlbench/pp_ctl.i,6951,355867915,217.14851,O0
11602050.0,2651514.0,4859542,215207647,0,0,703620597.0,963223810,400.perlbench/pp_hot.i,6299,299424432,190.65217,O0
7135345.0,2022197.0,2267096,128371338,0,0,408346055.0,538905917,400.perlbench/pp_pack.i,5293,190431646,110.680121,O0
4111306.0,1138044.0,1927318,84486825,0,0,286855769.0,386552535,400.perlbench/pp_sort.i,4124,125641760,77.754291,O0
12143561.0,3237834.0,6305848,234259447,0,0,833823826.0,1004680718,400.perlbench/pp_sys.i,6560,382707599,215.656291,O0
14911499.0,3711301.0,4645931,279058953,0,0,842125166.0,1205867960,400.perlbench/regcomp.i,7749,359089749,228.271692,O0
15319002.0,4275034.0,4432813,253519233,0,0,764051033.0,1117491623,400.perlbench/regexec.i,8329,327145746,203.65407,O0
848826.0,360013.0,385591,24072574,0,0,97591742.0,127200262,400.perlbench/run.i,2598,46489442,26.458732,O0
3953170.0,1161590.0,2536568,88151042,0,0,331397668.0,404687407,400.perlbench/scope.i,4250,161142754,88.268458,O0
190107.0,197719.0,201215,9522021,0,0,29566365.0,46246224,400.perlbench/specrand.i,1193,13397779,9.221721,O0
280190.0,176972.0,218620,10444628,0,0,29560720.0,50366534,400.perlbench/stdio.i,1240,13157516,10.205509,O0
19603850.0,5407173.0,9943938,359009418,0,1,1305515857.0,1565691494,400.perlbench/sv.i,9380,638067534,340.149627,O0
1065614.0,307054.0,525089,31482816,0,0,117312077.0,157018581,400.perlbench/taint.i,2867,53056952,31.664986,O0
27542854.0,7804992.0,8201580,467367501,0,0,1453852505.0,2055190710,400.perlbench/toke.i,13517,637039032,388.852606,O0
3692505.0,1052707.0,1839269,79325346,0,0,278123545.0,328150748,400.perlbench/universal.i,3931,125589361,74.560653,O0
5672476.0,1583416.0,3058283,113221233,0,0,408941906.0,491101536,400.perlbench/utf8.i,4504,204668405,108.964703,O0
7150649.0,1824774.0,4081968,131014552,0,0,518910475.0,605116259,400.perlbench/util.i,4914,257063225,136.45475,O0
2023211.0,599164.0,955690,44547854,0,0,149404738.0,190047858,400.perlbench/xsutils.i,3068,61938274,41.965498,O0
2858874.0,689539.0,1166145,61873264,0,0,197319609.0,272806628,401.bzip2/blocksort.i,2771,84665016,53.155534,O0
1366256.0,354011.0,892153,32047964,0,0,118241679.0,143651645,401.bzip2/bzip2.i,2135,62104458,33.959806,O0
3880075.0,944145.0,2095981,77732976,0,0,272286917.0,340969459,401.bzip2/bzlib.i,3148,113256799,73.437943,O0
4176609.0,993676.0,1021212,98410770,0,0,293239044.0,466155132,401.bzip2/compress.i,4946,116997443,79.04467,O0
387141.0,440109.0,157380,7718558,0,0,29565397.0,36823992,401.bzip2/crctable.i,1222,15430405,8.802772,O0
4371517.0,1543305.0,1035235,86395736,0,0,279038596.0,343781896,401.bzip2/decompress.i,4730,121802886,75.425231,O0
885656.0,282588.0,415263,18481991,0,1,81969518.0,104241732,401.bzip2/huffman.i,1766,45696566,22.255684,O0
411317.0,221440.0,165287,7975123,0,1,29560659.0,38105468,401.bzip2/randtable.i,1223,18436106,10.953934,O0
1644486.0,437870.0,1047459,37938783,0,0,136224466.0,163300870,401.bzip2/spec.i,2072,64877108,36.236027,O0
6093545.0,1404326.0,2945887,120815413,0,0,409433889.0,537439823,403.gcc/alias.i,4772,185114995,109.702701,O0
485573.0,186671.0,322260,15439922,0,0,44339309.0,59507102,403.gcc/alloca.i,1619,15245229,15.137575,O0
168479.0,368914.0,178895,9284781,0,0,29565667.0,45036018,403.gcc/asprintf.i,1168,12851487,8.299907,O0
2923368.0,844870.0,1696633,67495854,0,0,237581373.0,303054415,403.gcc/attribs.i,3676,109353408,64.667753,O0
1036629.0,306822.0,524797,30393268,0,0,114182166.0,149290956,403.gcc/bb-reorder.i,2828,52343149,30.948763,O0
1904303.0,560633.0,1153028,44532258,0,0,162990515.0,193682625,403.gcc/bitmap.i,2787,72450594,44.188311,O0
8118711.0,2003741.0,4461711,161954961,0,1,553083741.0,715400499,403.gcc/builtins.i,5417,244680486,149.300772,O0
2038734.0,623209.0,865294,42398278,0,0,166625960.0,175807510,403.gcc/c-aux-info.i,2980,85802159,44.549901,O0
10461248.0,2419165.0,4466366,209519892,0,0,682437078.0,942638997,403.gcc/c-common.i,7130,298633892,179.744642,O0
950236.0,316606.0,364341,18011597,0,0,88598600.0,109548727,403.gcc/c-convert.i,2364,43389592,24.014636,O0
13270105.0,3325789.0,5447865,252654109,0,0,862051417.0,1145057061,403.gcc/c-decl.i,7486,393013282,227.44312,O0
963143.0,354240.0,399383,22782220,0,0,92770420.0,120369970,403.gcc/c-errors.i,2538,43389390,24.967021,O0
4716244.0,1083098.0,1909765,94189935,0,0,315484854.0,407880084,403.gcc/c-format.i,4499,147105506,85.511336,O0
864421.0,367339.0,399919,24643529,0,0,96686491.0,120522761,403.gcc/c-lang.i,2526,47274793,26.209885,O0
3013612.0,831402.0,1538114,63179054,0,0,221701178.0,291585540,403.gcc/c-lex.i,3939,102270564,61.091284,O0
1767331.0,585549.0,929090,40660630,0,0,133024887.0,183127555,403.gcc/c-objc-common.i,3169,62996212,39.680659,O0
7766321.0,2380238.0,2090083,160657543,0,0,488136560.0,712823484,403.gcc/c-parse.i,6984,178566487,130.154968,O0
1673723.0,448558.0,759730,39127552,0,0,133020605.0,177298049,403.gcc/c-pragma.i,3105,60697171,37.125946,O0
2464866.0,807803.0,1473440,54096887,0,0,200742344.0,246782708,403.gcc/c-semantics.i,3429,96072409,53.704097,O0
13907230.0,3038248.0,5909781,259543613,0,0,842629131.0,1142937141,403.gcc/c-typeck.i,7307,367480239,225.97178,O0
3323986.0,786511.0,1462898,67869888,0,0,224047663.0,303453451,403.gcc/caller-save.i,3517,98982912,60.756654,O0
9407762.0,2242103.0,3486130,180150698,0,0,546853971.0,812086798,403.gcc/calls.i,5978,218686704,152.153234,O0
2461257.0,708742.0,1418608,62265576,0,0,219610152.0,275980907,403.gcc/cfg.i,3548,102370504,59.523965,O0
3017053.0,716119.0,1642940,67871221,0,0,221693429.0,298366906,403.gcc/cfganal.i,3329,105894265,63.08681,O0
2544203.0,742000.0,1316356,55408644,0,0,194398437.0,249397723,403.gcc/cfgbuild.i,3414,91371586,52.695874,O0
4284384.0,1099129.0,1831095,87971398,0,0,294758850.0,400661277,403.gcc/cfgcleanup.i,3914,129082839,79.890198,O0
1979324.0,570605.0,948213,44097885,0,0,147798550.0,190057225,403.gcc/cfglayout.i,3070,61048568,41.632293,O0
2383004.0,670247.0,1291468,49156960,0,0,188944078.0,247547636,403.gcc/cfgloop.i,3057,84001548,51.211953,O0
